taxonomic_order,species_code,taxon_concept_id,primary_com_name,sci_name,genus,family,add.to,do.not.break,notes,ETM.manual.fix,MJI suggested fix
2,ostric2,avibase-2247CB05,Common Ostrich,Struthio_camelus,Struthio,Struthionidae (Ostriches),,,,,
7,ostric3,avibase-40329BB6,Somali Ostrich,Struthio_molybdophanes,Struthio,Struthionidae (Ostriches),Struthio,,only one possible answer,,
10,soucas1,avibase-8B9D93D8,Southern Cassowary,Casuarius_casuarius,Casuarius,Casuariidae (Cassowaries and Emu),,,,,
11,dwacas1,avibase-7751E0D1,Dwarf Cassowary,Casuarius_bennetti,Casuarius,Casuariidae (Cassowaries and Emu),,,,,
14,norcas1,avibase-32E7303B,Northern Cassowary,Casuarius_unappendiculatus,Casuarius,Casuariidae (Cassowaries and Emu),"Casuarius_unappendiculatus, Casuarius_bennetti",,"according to Naish, D., and R. Perron (2014). Structure and function of the Cassowary's casque and its implications for Cassowary History, Biology and evolution. Historical Biology 28(4):507–518 as cited in BOW, Southern is sister to Dwarf+Northern",,
15,emu1,avibase-FD2456D5,Emu,Dromaius_novaehollandiae,Dromaius,Casuariidae (Cassowaries and Emu),,,,,
21,sobkiw1,avibase-6BA55EF0,Southern Brown Kiwi,Apteryx_australis,Apteryx,Apterygidae (Kiwis),,,,,
24,okbkiw1,avibase-D433BDAB,Okarito Brown Kiwi,Apteryx_rowi,Apteryx,Apterygidae (Kiwis),,,,,
25,nibkiw1,avibase-DB55CB8C,North Island Brown Kiwi,Apteryx_mantelli,Apteryx,Apterygidae (Kiwis),,,,,
27,liskiw1,avibase-187706CF,Little Spotted Kiwi,Apteryx_owenii,Apteryx,Apterygidae (Kiwis),,,,,
29,grskiw1,avibase-0D8B9E40,Great Spotted Kiwi,Apteryx_maxima,Apteryx,Apterygidae (Kiwis),,,,,
32,grerhe1,avibase-00986B24,Greater Rhea,Rhea_americana,Rhea,Rheidae (Rheas),,,,,
38,lesrhe2,avibase-590ADF92,Lesser Rhea,Rhea_pennata,Rhea,Rheidae (Rheas),,,,,
44,puntin1,avibase-0A51B426,Puna Tinamou,Tinamotis_pentlandii,Tinamotis,Tinamidae (Tinamous),,,,,
45,pattin1,avibase-EC451D91,Patagonian Tinamou,Tinamotis_ingoufi,Tinamotis,Tinamidae (Tinamous),,,,,
46,quctin1,avibase-9337459C,Quebracho Crested-Tinamou,Eudromia_formosa,Eudromia,Tinamidae (Tinamous),,,,,
49,elctin1,avibase-4E215E82,Elegant Crested-Tinamou,Eudromia_elegans,Eudromia,Tinamidae (Tinamous),,,,,
62,dwatin1,avibase-B62C4561,Dwarf Tinamou,Taoniscus_nanus,Taoniscus,Tinamidae (Tinamous),,,,,
63,whbnot1,avibase-458340C7,White-bellied Nothura,Nothura_boraquira,Nothura,Tinamidae (Tinamous),,,,,
64,lesnot1,avibase-99D7964C,Lesser Nothura,Nothura_minor,Nothura,Tinamidae (Tinamous),,,,,
65,darnot1,avibase-F7D16275,Darwin's Nothura,Nothura_darwinii,Nothura,Tinamidae (Tinamous),,,,,
71,sponot1,avibase-03C3DDFB,Spotted Nothura,Nothura_maculosa,Nothura,Tinamidae (Tinamous),,,,,
84,huatin1,avibase-94AF5DC7,Huayco Tinamou,Rhynchotus_maculicollis,Rhynchotus,Tinamidae (Tinamous),,,,,
85,rewtin1,avibase-C141F60A,Red-winged Tinamou,Rhynchotus_rufescens,Rhynchotus,Tinamidae (Tinamous),,,,,
89,brutin1,avibase-4C8BCEC2,Brushland Tinamou,Nothoprocta_cinerascens,Nothoprocta,Tinamidae (Tinamous),,,,,
92,andtin1,avibase-7A66539A,Andean Tinamou,Nothoprocta_pentlandii,Nothoprocta,Tinamidae (Tinamous),,,,,
103,cubtin1,avibase-F68CA24D,Curve-billed Tinamou,Nothoprocta_curvirostris,Nothoprocta,Tinamidae (Tinamous),,,,,
106,orntin1,avibase-286A2FBA,Ornate Tinamou,Nothoprocta_ornata,Nothoprocta,Tinamidae (Tinamous),,,,,
110,tactin1,avibase-368EC295,Taczanowski's Tinamou,Nothoprocta_taczanowskii,Nothoprocta,Tinamidae (Tinamous),,,,,
111,chitin1,avibase-F900EE88,Chilean Tinamou,Nothoprocta_perdicaria,Nothoprocta,Tinamidae (Tinamous),,,,,
115,tabtin1,avibase-5FB99321,Tawny-breasted Tinamou,Nothocercus_julius,Nothocercus,Tinamidae (Tinamous),,,,,
116,hootin1,avibase-68E763AE,Hooded Tinamou,Nothocercus_nigrocapillus,Nothocercus,Tinamidae (Tinamous),,,,,
119,higtin1,avibase-66C31E09,Highland Tinamou,Nothocercus_bonapartei,Nothocercus,Tinamidae (Tinamous),,,,,
126,gretin1,avibase-42D72AE1,Great Tinamou,Tinamus_major,Tinamus,Tinamidae (Tinamous),,,,,
139,soltin1,avibase-67E5E0FA,Solitary Tinamou,Tinamus_solitarius,Tinamus,Tinamidae (Tinamous),,,,,
140,grytin1,avibase-346D16D5,Gray Tinamou,Tinamus_tao,Tinamus,Tinamidae (Tinamous),,,,,
145,whttin1,avibase-0480B7C9,White-throated Tinamou,Tinamus_guttatus,Tinamus,Tinamidae (Tinamous),,,,,
146,blatin1,avibase-63C5F122,Black Tinamou,Tinamus_osgoodi,Tinamus,Tinamidae (Tinamous),,,,,
150,bertin1,avibase-9B036853,Berlepsch's Tinamou,Crypturellus_berlepschi,Crypturellus,Tinamidae (Tinamous),,,,,
151,cintin1,avibase-7C90F8DB,Cinereous Tinamou,Crypturellus_cinereus,Crypturellus,Tinamidae (Tinamous),,,,,
152,teptin1,avibase-F5F9A63F,Tepui Tinamou,Crypturellus_ptaritepui,Crypturellus,Tinamidae (Tinamous),,,,,
153,smbtin1,avibase-2988DEC6,Small-billed Tinamou,Crypturellus_parvirostris,Crypturellus,Tinamidae (Tinamous),,,,,
154,tattin1,avibase-9C7F2C57,Tataupa Tinamou,Crypturellus_tataupa,Crypturellus,Tinamidae (Tinamous),,,,,
159,brotin1,avibase-D624C373,Brown Tinamou,Crypturellus_obsoletus,Crypturellus,Tinamidae (Tinamous),,,,,
170,vartin1,avibase-F8BBC7A7,Variegated Tinamou,Crypturellus_variegatus,Crypturellus,Tinamidae (Tinamous),,,,,
171,bartin2,avibase-88B9ABC1,Bartlett's Tinamou,Crypturellus_bartletti,Crypturellus,Tinamidae (Tinamous),,,,,
172,bartin1,avibase-26D1CE28,Barred Tinamou,Crypturellus_casiquiare,Crypturellus,Tinamidae (Tinamous),,,,,
173,rustin1,avibase-45EE168A,Rusty Tinamou,Crypturellus_brevirostris,Crypturellus,Tinamidae (Tinamous),,,,,
174,littin1,avibase-39DD9DD7,Little Tinamou,Crypturellus_soui,Crypturellus,Tinamidae (Tinamous),,,,,
189,undtin1,avibase-7A600A0F,Undulated Tinamou,Crypturellus_undulatus,Crypturellus,Tinamidae (Tinamous),,,,,
196,yeltin1,avibase-7507BE36,Yellow-legged Tinamou,Crypturellus_noctivagus,Crypturellus,Tinamidae (Tinamous),,,,,
199,blctin1,avibase-41631439,Black-capped Tinamou,Crypturellus_atrocapillus,Crypturellus,Tinamidae (Tinamous),,,,,
202,pabtin1,avibase-D303E7FF,Pale-browed Tinamou,Crypturellus_transfasciatus,Crypturellus,Tinamidae (Tinamous),,,,,
203,thitin1,avibase-AAB5CEED,Thicket Tinamou,Crypturellus_cinnamomeus,Crypturellus,Tinamidae (Tinamous),,,,,
214,slbtin1,avibase-5183B60E,Slaty-breasted Tinamou,Crypturellus_boucardi,Crypturellus,Tinamidae (Tinamous),,,,,
217,chotin1,avibase-2ED97B54,Choco Tinamou,Crypturellus_kerriae,Crypturellus,Tinamidae (Tinamous),,,,,
218,reltin1,avibase-4E03F38D,Red-legged Tinamou,Crypturellus_erythropus,Crypturellus,Tinamidae (Tinamous),,,,,
226,gyltin1,avibase-D2592D39,Gray-legged Tinamou,Crypturellus_duidae,Crypturellus,Tinamidae (Tinamous),,,,,
227,bratin1,avibase-FE2B5A6B,Brazilian Tinamou,Crypturellus_strigulosus,Crypturellus,Tinamidae (Tinamous),,,,,
232,horscr1,avibase-71BA40DC,Horned Screamer,Anhima_cornuta,Anhima,Anhimidae (Screamers),,,,,
233,souscr1,avibase-91194BE3,Southern Screamer,Chauna_torquata,Chauna,Anhimidae (Screamers),,,,,
234,norscr1,avibase-013B2B0B,Northern Screamer,Chauna_chavaria,Chauna,Anhimidae (Screamers),,,,,
236,maggoo1,avibase-89D5434B,Magpie Goose,Anseranas_semipalmata,Anseranas,Anseranatidae (Magpie Goose),,,,,
238,spwduc1,avibase-1AAB20B0,Spotted Whistling-Duck,Dendrocygna_guttata,Dendrocygna,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
239,plwduc1,avibase-A467AD00,Plumed Whistling-Duck,Dendrocygna_eytoni,Dendrocygna,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
240,wfwduc1,avibase-A534AFEA,White-faced Whistling-Duck,Dendrocygna_viduata,Dendrocygna,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
243,bbwduc,avibase-C01A22D6,Black-bellied Whistling-Duck,Dendrocygna_autumnalis,Dendrocygna,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
247,wiwduc1,avibase-DC65FCE7,West Indian Whistling-Duck,Dendrocygna_arborea,Dendrocygna,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
249,fuwduc,avibase-9A60617E,Fulvous Whistling-Duck,Dendrocygna_bicolor,Dendrocygna,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
252,wawduc1,avibase-69D272A6,Wandering Whistling-Duck,Dendrocygna_arcuata,Dendrocygna,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
258,lewduc1,avibase-BD683E6E,Lesser Whistling-Duck,Dendrocygna_javanica,Dendrocygna,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
262,whbduc1,avibase-2EEDACD5,White-backed Duck,Thalassornis_leuconotus,Thalassornis,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
265,bahgoo,avibase-B7159EF0,Bar-headed Goose,Anser_indicus,Anser,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
266,empgoo,avibase-1E6F0F8D,Emperor Goose,Anser_canagicus,Anser,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
267,snogoo,avibase-D3A260BC,Snow Goose,Anser_caerulescens,Anser,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
272,rosgoo,avibase-7A24F57F,Ross's Goose,Anser_rossii,Anser,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
275,gragoo,avibase-4AED44E8,Graylag Goose,Anser_anser,Anser,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
281,swagoo1,avibase-946E4517,Swan Goose,Anser_cygnoides,Anser,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
287,gwfgoo,avibase-466E9077,Greater White-fronted Goose,Anser_albifrons,Anser,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
299,lwfgoo,avibase-184D2329,Lesser White-fronted Goose,Anser_erythropus,Anser,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
301,taibeg1,avibase-BDB497A3,Taiga Bean-Goose,Anser_fabalis,Anser,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
306,tunbeg1,avibase-AD849FCB,Tundra Bean-Goose,Anser_serrirostris,Anser,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
311,pifgoo,avibase-AFA7EE74,Pink-footed Goose,Anser_brachyrhynchus,Anser,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
314,brant,avibase-3E04020B,Brant,Branta_bernicla,Branta,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
322,bargoo,avibase-3163ED86,Barnacle Goose,Branta_leucopsis,Branta,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
331,cacgoo1,avibase-60214D49,Cackling Goose,Branta_hutchinsii,Branta,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
342,cangoo,avibase-B59E1863,Canada Goose,Branta_canadensis,Branta,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
365,hawgoo,avibase-EDB18078,Hawaiian Goose,Branta_sandvicensis,Branta,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
367,rebgoo1,avibase-0D280B3F,Red-breasted Goose,Branta_ruficollis,Branta,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
372,cabgoo1,avibase-CA875F31,Cape Barren Goose,Cereopsis_novaehollandiae,Cereopsis,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
375,freduc1,avibase-E93960AB,Freckled Duck,Stictonetta_naevosa,Stictonetta,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
376,buwgoo1,avibase-842CC0BC,Blue-winged Goose,Cyanochen_cyanoptera,Cyanochen,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
377,mutswa,avibase-694C127A,Mute Swan,Cygnus_olor,Cygnus,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
379,blkswa,avibase-46B54DB1,Black Swan,Cygnus_atratus,Cygnus,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
381,blnswa2,avibase-B8C652E6,Black-necked Swan,Cygnus_melancoryphus,Cygnus,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
382,truswa,avibase-B86C504C,Trumpeter Swan,Cygnus_buccinator,Cygnus,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
384,tunswa,avibase-0BCBA6B9,Tundra Swan,Cygnus_columbianus,Cygnus,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
390,whoswa,avibase-BDDB5670,Whooper Swan,Cygnus_cygnus,Cygnus,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
395,cosswa1,avibase-A3A0E8FE,Coscoroba Swan,Coscoroba_coscoroba,Coscoroba,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
396,comduc2,avibase-3948131B,Knob-billed Duck,Sarkidiornis_melanotos,Sarkidiornis,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
397,comduc3,avibase-6C8A4060,Comb Duck,Sarkidiornis_sylvicola,Sarkidiornis,"Anatidae (Ducks, Geese, and Waterfowl)",Sarkidiornis,,,,
398,harduc1,avibase-F28E3EB8,Hartlaub's Duck,Pteronetta_hartlaubii,Pteronetta,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
399,origoo1,avibase-FA5A25B2,Orinoco Goose,Oressochen_jubatus,Oressochen,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
400,andgoo1,avibase-BB29610F,Andean Goose,Oressochen_melanopterus,Oressochen,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
401,uplgoo1,avibase-74FC5DAB,Upland Goose,Chloephaga_picta,Chloephaga,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
406,kelgoo1,avibase-4270502F,Kelp Goose,Chloephaga_hybrida,Chloephaga,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
409,ashgoo1,avibase-E0DEB0E7,Ashy-headed Goose,Chloephaga_poliocephala,Chloephaga,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
410,ruhgoo1,avibase-164A10EA,Ruddy-headed Goose,Chloephaga_rubidiceps,Chloephaga,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
414,radshe1,avibase-13B373F3,Radjah Shelduck,Radjah_radjah,Radjah,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
417,egygoo,avibase-DA2F24E3,Egyptian Goose,Alopochen_aegyptiaca,Alopochen,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
419,maushe1,avibase-E4AA60C7,Mauritius Shelduck,Alopochen_mauritiana,Alopochen,"Anatidae (Ducks, Geese, and Waterfowl)","Alopochen; Alopochen_mauritiana, Alopochen_kervazoi",,,,
420,reushe1,avibase-10D0AD82,Reunion Shelduck,Alopochen_kervazoi,Alopochen,"Anatidae (Ducks, Geese, and Waterfowl)","Alopochen; Alopochen_mauritiana, Alopochen_kervazoi",,,,
421,rudshe,avibase-1F9D883E,Ruddy Shelduck,Tadorna_ferruginea,Tadorna,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
423,soashe1,avibase-D9DEA77E,South African Shelduck,Tadorna_cana,Tadorna,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
424,ausshe1,avibase-FF1439E4,Australian Shelduck,Tadorna_tadornoides,Tadorna,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
425,parshe1,avibase-AB08E5C4,Paradise Shelduck,Tadorna_variegata,Tadorna,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
426,comshe,avibase-5EAB32D3,Common Shelduck,Tadorna_tadorna,Tadorna,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
428,creshe1,avibase-B2EEE0EA,Crested Shelduck,Tadorna_cristata,Tadorna,"Anatidae (Ducks, Geese, and Waterfowl)","Tadorna_tadornoides, Tadorna_variegata, Tadorna_cristata",,One phylogenetic analysis found present species to be sister to a clade comprising T. tadornoides and T. variegata,,
429,spwgoo1,avibase-EB01B24C,Spur-winged Goose,Plectropterus_gambensis,Plectropterus,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
432,flystd1,avibase-B3F9BB06,Flying Steamer-Duck,Tachyeres_patachonicus,Tachyeres,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
433,flistd1,avibase-1891E2C4,Flightless Steamer-Duck,Tachyeres_pteneres,Tachyeres,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
435,falstd1,avibase-13CF7E44,Falkland Steamer-Duck,Tachyeres_brachypterus,Tachyeres,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
438,whhstd1,avibase-63180090,White-headed Steamer-Duck,Tachyeres_leucocephalus,Tachyeres,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
441,creduc1,avibase-079F846A,Crested Duck,Lophonetta_specularioides,Lophonetta,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
444,speduc2,avibase-DB94B36F,Spectacled Duck,Speculanas_specularis,Speculanas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
445,musduc,avibase-8DE14046,Muscovy Duck,Cairina_moschata,Cairina,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
448,grnpyg1,avibase-D040868F,Green Pygmy-Goose,Nettapus_pulchellus,Nettapus,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
449,copgoo1,avibase-90AAE188,Cotton Pygmy-Goose,Nettapus_coromandelianus,Nettapus,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
453,afrpyg1,avibase-EC7C1618,African Pygmy-Goose,Nettapus_auritus,Nettapus,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
454,rintea1,avibase-45C1096F,Ringed Teal,Callonetta_leucophrys,Callonetta,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
455,wooduc,avibase-27B2749A,Wood Duck,Aix_sponsa,Aix,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
457,manduc,avibase-E1714A09,Mandarin Duck,Aix_galericulata,Aix,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
459,manduc1,avibase-149A8E7E,Maned Duck,Chenonetta_jubata,Chenonetta,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
460,finduc1,avibase-B3A6E16F,Finsch's Duck,Chenonetta_finschi,Chenonetta,"Anatidae (Ducks, Geese, and Waterfowl)",Chenonetta,,,,
461,bratea1,avibase-DDFC6B2B,Brazilian Teal,Amazonetta_brasiliensis,Amazonetta,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
465,bluduc1,avibase-C7FB4E76,Blue Duck,Hymenolaimus_malacorhynchos,Hymenolaimus,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
468,torduc1,avibase-C1068510,Torrent Duck,Merganetta_armata,Merganetta,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
477,saltea1,avibase-A9FC6BC0,Salvadori's Teal,Salvadorina_waigiuensis,Salvadorina,"Anatidae (Ducks, Geese, and Waterfowl)","Hymenolaimus_malacorhynchos, Merganetta_armata, Salvadorina_waigiuensis, Sibirionetta_formosa, Spatula_querquedula, Spatula_hottentota, Spatula_versicolor, Spatula_puna, Spatula_discors, Spatula_cyanoptera, Spatula_platalea, Spatula_smithii, Spatula_rhynchotis, Spatula_clypeata, Mareca_strepera, Mareca_falcata, Mareca_penelope, Mareca_americana, Mareca_sibilatrix, Mareca_marecula, Anas_sparsa, Anas_undulata, Anas_melleri, Anas_superciliosa, Anas_laysanensis, Anas_wyvilliana, Anas_luzonica, Anas_poecilorhyncha, Anas_zonorhyncha, Anas_platyrhynchos, Anas_diazi, Anas_rubripes, Anas_fulvigula, Anas_capensis, Anas_bahamensis, Anas_erythrorhyncha, Anas_acuta, Anas_eatoni, Anas_georgica, Anas_crecca, Anas_andium, Anas_flavirostris, Anas_theodori, Anas_albogularis, Anas_gibberifrons, Anas_gracilis, Anas_castanea, Anas_bernieri, Anas_aucklandica, Anas_nesiotis, Anas_chlorotis",Aix; Alopochen; Amazonetta; Anas; Anser; Asarcornis; Aythya; Biziura; Branta; Bucephala; Cairina; Callonetta; Camptorhynchus; Cereopsis; Chenonetta; Chloephaga; Clangula; Coscoroba; Cyanochen; Cygnus; Dendrocygna; Heteronetta; Histrionicus; Hymenolaimus; Lophodytes; Lophonetta; Malacorhynchus; Mareca; Marmaronetta; Melanitta; Merganetta; Mergellus; Mergus; Netta; Nettapus; Nomonyx; Oressochen; Oxyura; Plectropterus; Polysticta; Pteronetta; Radjah; Rhodonessa; Salvadorina; Sarkidiornis; Sibirionetta; Somateria; Spatula; Speculanas; Stictonetta; Tachyeres; Tadorna; Thalassornis,"Often placed in genus Anas. Shares several characters with Hymenolaimus and Merganetta, but this possibly due to convergent evolution. ETM: add to Hymenolaiumus through Anas without rendering any genera paraphyletic",,
478,baitea,avibase-63EABB42,Baikal Teal,Sibirionetta_formosa,Sibirionetta,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
479,gargan,avibase-F577BA0F,Garganey,Spatula_querquedula,Spatula,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
480,hottea1,avibase-FA831F65,Blue-billed Teal,Spatula_hottentota,Spatula,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
481,siltea1,avibase-C8F1E992,Silver Teal,Spatula_versicolor,Spatula,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
484,puntea1,avibase-86B0BAFA,Puna Teal,Spatula_puna,Spatula,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
485,buwtea,avibase-90E2543E,Blue-winged Teal,Spatula_discors,Spatula,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
487,cintea,avibase-0E599E6C,Cinnamon Teal,Spatula_cyanoptera,Spatula,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
496,redsho1,avibase-CEFACC86,Red Shoveler,Spatula_platalea,Spatula,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
497,capsho1,avibase-4670CF43,Cape Shoveler,Spatula_smithii,Spatula,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
498,aussho1,avibase-A21E7645,Australasian Shoveler,Spatula_rhynchotis,Spatula,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
501,norsho,avibase-ED4CE8E7,Northern Shoveler,Spatula_clypeata,Spatula,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
505,gadwal,avibase-C235A4D7,Gadwall,Mareca_strepera,Mareca,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
509,falduc,avibase-978D4485,Falcated Duck,Mareca_falcata,Mareca,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
512,eurwig,avibase-15EE0D36,Eurasian Wigeon,Mareca_penelope,Mareca,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
517,amewig,avibase-D201EB72,American Wigeon,Mareca_americana,Mareca,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
524,chiwig1,avibase-0B8AF41F,Chiloe Wigeon,Mareca_sibilatrix,Mareca,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
526,amsduc1,avibase-B52611C1,Amsterdam Duck,Mareca_marecula,Mareca,"Anatidae (Ducks, Geese, and Waterfowl)",Mareca,,,,
527,afbduc1,avibase-1EAFAD9F,African Black Duck,Anas_sparsa,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
530,yebduc1,avibase-7F64AD87,Yellow-billed Duck,Anas_undulata,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
533,melduc1,avibase-9BA03AF9,Meller's Duck,Anas_melleri,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
534,pabduc1,avibase-07479AD9,Pacific Black Duck,Anas_superciliosa,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
537,layduc,avibase-3F444E5A,Laysan Duck,Anas_laysanensis,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
538,hawduc,avibase-250EA983,Hawaiian Duck,Anas_wyvilliana,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
539,phiduc1,avibase-9AA3E5C2,Philippine Duck,Anas_luzonica,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
540,isbduc1,avibase-759C5EB8,Indian Spot-billed Duck,Anas_poecilorhyncha,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
543,spbduc,avibase-E21470F9,Eastern Spot-billed Duck,Anas_zonorhyncha,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
545,mallar3,avibase-85625D75,Mallard,Anas_platyrhynchos,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
568,mexduc,avibase-42CF45FE,Mexican Duck,Anas_diazi,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
571,ambduc,avibase-C732CB10,American Black Duck,Anas_rubripes,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
575,motduc,avibase-697B933E,Mottled Duck,Anas_fulvigula,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
584,captea1,avibase-25DA0F41,Cape Teal,Anas_capensis,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
585,whcpin,avibase-D2F97D13,White-cheeked Pintail,Anas_bahamensis,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
591,rebduc1,avibase-8F6876AC,Red-billed Duck,Anas_erythrorhyncha,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
594,norpin,avibase-56CCA717,Northern Pintail,Anas_acuta,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
603,eatpin1,avibase-8899CF64,Eaton's Pintail,Anas_eatoni,Anas,"Anatidae (Ducks, Geese, and Waterfowl)","Anas_acuta, Anas_eatoni, Anas_georgica",,With A. acuta and A. georgica sometimes placed in genus Dafila.,,
606,yebpin1,avibase-B940CCD5,Yellow-billed Pintail,Anas_georgica,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
612,gnwtea,avibase-BC6C3CCE,Green-winged Teal,Anas_crecca,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
626,spetea3,avibase-0642F0F9,Andean Teal,Anas_andium,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
629,yebtea1,avibase-D4263C69,Yellow-billed Teal,Anas_flavirostris,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,
634,mauduc1,avibase-08F2BBC6,Mauritius Duck,Anas_theodori,Anas,"Anatidae (Ducks, Geese, and Waterfowl)","Anas_theodori, Anas_bernieri",,"Sometimes placed in subgenus Nettion within the A. gibberifrons species-group. Closest living relative formerly reckoned to be A. melleri, but now thought to be A. bernieri.",,
